"ID","Name","Location","Phone","Email"
"1","Randall Woodfin","Birmingham, AL","205-254-2277","randall.woodfin@birminghamal.gov"
"2","Steven Reed","Montgomery, AL","334-625-2000","mayor@montgomeryal.gov"
"3","Tommy Battle","Huntsville, AL","256-427-5000","tommy.battle@hsvcity.com"
"4","William 'Sandy' S. Stimpson","Mobile, AL","251-208-7395","mayorstimpson@cityofmobile.org"
"5","Walter Maddox","Tuscaloosa, AL","205-248-5001","mayor@tuscaloosa.com"
"6","Frank V. Brocato","Hoover, AL","205-444-7510","mayorsoffice@ci.hoover.al.us"
"7","Mark Saliba","Dothan, AL","334-615-3110","mayor@dothan.org"
"8","Ron Anders Jr.","Auburn, AL","334-703-9000","randers@auburnalabama.org"
"9","Tab Bowling","Decatur, AL","256-341-4504","tbowling@decatur-al.gov"
"10","Paul Finley","Madison, AL","256-772-5600","mayors.office@madisonal.gov"
"11","Steve Holt","Florence, AL","256-760-6400","sholt@florenceal.org"
"12","Eddie N. Lowe","Phenix City, AL","334-448-2701","elowe@phenixcityal.us"
"13","William 'Bill' W. Gillespie Jr.","Prattville, AL","334-361-3609","mayor@prattvilleal.gov"
"14","Sherman Guyton","Gadsden, AL","256-549-4500","sguyton@cityofgadsden.com"
"15","Ashley C. Curry","Vestavia Hills, AL","205-978-0130","acurry@vhal.org"
"16","Marty Handlon","Alabaster, AL","205-664-6804","handlon@cityofalabaster.com"
"17","Gary Fuller","Opelika, AL","(334) 705-5150","gfuller@opelika-al.gov"
"18","Kenneth E. Gulley","Bessemer, AL","205-481-1138","kgulley@bessemeral.org"
"19","Karin Wilson","Fairhope, AL","(251) 990-0100","karin.wilson@fairhopeal.gov"
"20","Ethan Berkowitz","Anchorage, AK","907-343-7100","mayor@muni.org"
"21","Beth Weldon","Juneau, AK","907-586-5240","mayor@ci.juneau.ak.us"
"22","Jim Matherly","Fairbanks, AK","907-459-6793","jmatherly@fairbanks.us"
"23","Kate Gallego","Phoenix, AZ","602-262-7111","mayor.gallego@phoenix.gov"
"24","Regina Romero","Tucson, AZ","520-791-4201","mayor.romero@tucsonaz.gov"
"25","John Giles","Mesa, AZ","480-644-2388","mayor@mesaaz.gov"
"26","Kevin Hartke","Chandler, AZ","480-782-2200","kevin.hartke@chandleraz.gov"
"27","W.J. 'Jim' Lane","Scottsdale, AZ","480-312-2433","jlane@scottsdaleaz.gov"
"28","Jerry Weiers","Glendale, AZ","623-930-2260","mayorweiers@glendaleaz.com"
